Date,APPL,AMZN,MSFT,GS,PFZR,SPX,UST3M (Rf)
2008.12.31,-0.0818066,0.1848188,-0.0393394,0.0661276,0.0754375,0.006088687122,0.000000
2009.1.30,0.0542398,0.1365714,-0.1282543,-0.0443387,-0.1946667,-0.08962217897,0.000100
2009.2.27,-0.0093604,0.0958818,-0.0571584,0.1206280,-0.1690954,-0.1165094937,0.000300
2009.3.31,0.1617349,0.1257989,0.1287988,0.1518895,0.1009808,0.08090882112,0.000200
2009.4.30,0.1800969,0.0921730,0.0979296,0.1923011,-0.0195548,0.09028828918,0.000100
2009.5.29,0.0771260,-0.0319250,0.0306221,0.1178349,0.1287808,0.05243820132,0.000200
2009.6.30,0.0482991,0.0707778,0.1291537,0.0196575,-0.0125788,-0.0004455625845,0.000200
2009.7.31,0.1374530,0.0250102,-0.0105732,0.1021677,0.0600453,0.07140161476,0.000200
2009.8.31,0.0286940,-0.0550840,0.0469258,0.0131405,0.0472121,0.03290179765,0.000100
2009.9.30,0.0966706,0.1392855,0.0424920,0.1081067,-0.0088833,0.03469546239,0.000100
2009.10.30,0.0179646,0.2412080,0.0752460,-0.0800382,0.0282771,-0.01962045938,0.000100
2009.11.30,0.0576529,0.1342149,0.0588199,-0.0030015,0.0647708,0.05580160446,0.000000
2009.12.31,0.0531823,-0.0093884,0.0357360,-0.0048449,0.0011608,0.01761570519,0.000000
2010.1.29,-0.0931876,-0.0717341,-0.0784582,-0.1268862,0.0257672,-0.03764862576,0.000100
2010.2.26,0.0635358,-0.0570552,0.0172388,0.0500317,-0.0611901,0.02810158396,0.000100
2010.3.31,0.1377972,0.1372943,0.0213949,0.0874004,-0.0231013,0.05706439233,0.000100
2010.4.30,0.1061945,0.0097469,0.0417911,-0.1613854,-0.0255386,0.01472998115,0.000100
2010.5.31,-0.0151191,-0.0888695,-0.1686628,-0.0064949,-0.0931674,-0.08564551528,0.000100
2010.6.30,-0.0231161,-0.1375247,-0.1144456,-0.0943610,-0.0658321,-0.05551348591,0.000100
2010.7.30,0.0231161,0.0759681,0.1148331,0.1388308,0.0504794,0.06660970518,0.000100
2010.8.31,-0.0559430,0.0568428,-0.0950390,-0.0966172,0.0587199,-0.04872891155,0.000100
2010.9.30,0.1543151,0.2293547,0.0425419,0.0543631,0.0765680,0.08400796697,0.000100
2010.10.29,0.0584178,0.0502868,0.0852745,0.1083785,0.0140289,0.03621651977,0.000100
2010.11.30,0.0329398,0.0604964,-0.0543172,-0.0314585,-0.0663573,-0.002724151868,0.000100
2010.12.31,0.0362391,0.0256013,0.0997629,0.0741629,0.0717937,0.06385208334,0.000100
2011.1.31,0.0507723,-0.0588624,-0.0064702,-0.0273692,0.0395682,0.02216479439,0.000100
2011.2.28,0.0412180,0.0207588,-0.0423558,0.0009774,0.0546461,0.03179533757,0.000100
2011.3.31,-0.0143543,0.0388255,-0.0458037,-0.0321388,0.0538941,-0.001454370337,0.000100
2011.4.29,0.0016051,0.0864700,0.0206595,-0.0490392,0.0322031,0.02804057537,0.000100
2011.5.31,-0.0040177,0.0014246,-0.0357391,-0.0705029,0.0223834,-0.01313045432,0.000000
2011.6.30,-0.0352351,0.0388902,0.0388208,-0.0558176,-0.0401459,-0.01856668087,0.000000
2011.7.29,0.1514065,0.0845428,0.0524465,0.0140269,-0.0677867,-0.02042315084,0.000000
2011.8.31,-0.0151682,-0.0330760,-0.0296318,-0.1495676,-0.0143490,-0.05893671441,0.000000
2011.9.30,-0.0087720,0.0043567,-0.0664451,-0.2063562,-0.0708210,-0.07459909244,0.000000
2011.10.31,0.0598469,-0.0126590,0.0675723,0.1472523,0.0857178,0.1052289629,0.000000
2011.11.30,-0.0583796,-0.1046790,-0.0402276,-0.1334923,0.0413038,-0.008964159725,0.000000
2011.12.30,0.0583796,-0.1047886,0.0147461,-0.0583127,0.0748959,0.009647339237,0.000000
2012.1.31,0.1197789,0.1168329,0.1288498,0.2091794,-0.0107844,0.04525005586,0.000000
